name,player_unique_id,number,t_b,height,weight,born,debut,nationality,draft_order,position,team
藍愷青,5284,21,左投左打,176,74,1998-09-06,2021-03-19,中華民國,,投手,富邦悍將二軍
許峻暘,5285,84,右投左打,181,73,1998-03-23,2021-10-13,中華民國,樂天桃猿2020年第三輪,投手,台鋼雄鷹
楊淳弼,5295,29,左投左打,184,85,2000-06-22,,中華民國,統一7-ELEVEn獅2020年第十輪,投手,統一7-ELEVEn獅二軍
吳家洋,5293,53,右投右打,177,93,2000-01-22,,中華民國,,捕手,富邦悍將二軍
董秉軒,5296,69,右投左打,186,84,1998-01-09,2021-08-06,中華民國,味全龍2020年第八輪,右外野手,味全龍二軍
岳少華,5292,48,右投左打,180,68,1999-06-01,2021-11-14,中華民國,富邦悍將2021年第八輪,投手,富邦悍將二軍
黃韋盛,5298,66,右投右打,184,97,1999-02-19,2021-07-17,中華民國,中信兄弟2020年第六輪,一壘手,中信兄弟二軍
許哲晏,5306,10,右投右打,176,78,1998-01-16,2020-10-14,中華民國,統一7-ELEVEn獅2020年第六輪,游擊手,統一7-ELEVEn獅
陳真,5310,7,右投右打,185,85,1998-10-22,2021-03-14,中華民國,富邦悍將2020年第三輪,左外野手,富邦悍將
陳韋霖,5307,30,左投右打,177,67,1995-06-30,2020-10-20,中華民國,,投手,富邦悍將二軍
蔣少宏,5291,63,右投右打,179,100,1997-07-13,2021-03-17,中華民國,味全龍2020年第五輪,捕手,味全龍
蘇煒智,5323,26,右投右打,173,78,1999-04-26,2022-06-21,中華民國,,捕手,富邦悍將二軍
曾宸佐,5313,22,右投右打,175,85,1999-04-10,,中華民國,台鋼雄鷹2022年第十二輪,中外野手,台鋼雄鷹二軍
呂詠臻,5372,40,右投右打,179,74,1998-12-24,2022-07-18,中華民國,味全龍2020年第六輪,投手,味全龍
廖柏勳,5334,64,右投右打,180,80,1997-03-26,2022-09-21,中華民國,,中外野手,富邦悍將二軍
湯家豪,5333,127,右投左打,170,70,2000-01-27,,中華民國,,游擊手,台鋼雄鷹二軍
布瑞特,5494,22,左投左打,185,104,1989-07-01,,美國,,投手,中信兄弟
江國豪,5479,12,右投右打,178,73,1997-12-29,2019-08-04,中華民國,富邦悍將2019年第一輪,投手,富邦悍將二軍
林志綱,5342,47,右投左打,178,72,1999-02-13,2021-10-01,中華民國,中信兄弟2020年第四輪,三壘手,中信兄弟
王博玄,5340,6,右投左打,184,80,2000-04-01,2024-04-04,中華民國,台鋼雄鷹2022年第二十一輪,二壘手,台鋼雄鷹
邱辰,5341,50,左投右打,177,80,1999-02-01,2021-11-07,中華民國,味全龍2021年第七輪,右外野手,味全龍二軍
莊昕諺,5509,77,右投右打,181,91,2000-10-19,2020-10-18,中華民國,Lamigo桃猿2019年第六輪,投手,樂天桃猿
張喜凱,5511,26,右投右打,180,70,1998-10-29,2020-10-04,中華民國,Lamigo桃猿2019年第五輪,投手,台鋼雄鷹二軍
班華德,5480,30,右投右打,191,99,1986-02-14,2019-08-31,美國,,投手,富邦悍將
辛元旭,5496,67,右投右打,178,76,1999-06-04,2020-06-03,中華民國,富邦悍將2019年第九輪,三壘手,富邦悍將二軍
朱益生,5492,70,左投左打,183,83,1999-10-01,,中華民國,富邦悍將2019年第二輪,投手,富邦悍將二軍
林澤彬,5510,2,右投左打,177,80,1998-12-23,2020-10-17,中華民國,Lamigo桃猿2019年第三輪,二壘手,富邦悍將
吳承諭,5482,57,右投左打,181,85,1997-01-09,2019-09-29,中華民國,統一7-ELEVEn獅2019年第三輪,投手,統一7-ELEVEn獅
多猛,5520,27,左投左打,181,87,1992-06-01,2019-08-31,美國,,投手,Lamigo
楊瑞承,5508,42,右投左打,183,90,1993-10-04,2019-10-05,中華民國,Lamigo桃猿2019年第七輪,三壘手,富邦悍將二軍
黃紹熙,5521,44,右投左右開弓,178,80,1994-05-06,2021-11-20,中華民國,統一7-ELEVEn獅2019年第六輪,二壘手,統一7-ELEVEn獅二軍
羅暐捷,5522,8,右投左打,175,70,2001-01-15,2020-09-08,中華民國,統一7-ELEVEn獅2019年第二輪,左外野手,統一7-ELEVEn獅二軍
魏全,5533,98,右投右打,183,90,1998-01-13,2022-05-19,中華民國,味全龍2019年第二十八輪,捕手,味全龍二軍
全浩瑋,5532,22,右投右打,180,96,1998-05-30,2021-04-03,中華民國,味全龍2019年第十一輪,捕手,味全龍二軍
邱智呈,5531,14,左投左打,168,80,2000-11-26,2020-05-09,中華民國,統一7-ELEVEn獅2019年第五輪,右外野手,統一7-ELEVEn獅
牛塏曄,5534,110,右投右打,172,96,1994-01-02,2021-03-27,中華民國,味全龍2019年第十八輪,捕手,味全龍二軍
李宇翔,5535,11,右投右打,175,71,1997-05-07,,中華民國,味全龍2019年第十九輪,投手,味全龍二軍
徐若熙,5543,18,右投右打,180,76,2000-11-01,2021-03-17,中華民國,味全龍2019年第一輪,投手,味全龍二軍
劉宇鈞,5537,14,右投右打,177,75,1998-06-27,,中華民國,味全龍2019年第二十二輪,投手,味全龍二軍
黃柏豪,5538,10,右投左打,178,95,1996-09-14,2021-07-13,中華民國,味全龍2019年第十六輪,一壘手,味全龍
郭郁政,5541,17,右投右打,187,94,1997-12-01,2021-07-18,中華民國,味全龍2019年第四輪,投手,味全龍二軍
曾柏融,5539,61,左投左打,182,75,1998-05-01,2021-11-17,中華民國,味全龍2019年第二十輪,投手,味全龍二軍
瑪仕革斯．俄霸律尼,5536,3,左投左打,176,105,1996-10-30,2021-05-05,中華民國,味全龍2019年第二十六輪,一壘手,味全龍
張政禹,5542,25,右投左打,178,70,2000-06-08,2021-07-13,中華民國,味全龍2019年第七輪,游擊手,味全龍
李凱威,5540,21,右投左打,174,76,1997-09-11,2021-03-14,中華民國,味全龍2019年第二輪,二壘手,味全龍
蔡明憲,5547,26,右投右打,184,74,1998-11-29,2021-04-03,中華民國,味全龍2019年第八輪,投手,味全龍二軍
拿莫．伊漾,5546,57,右投右打,187,85,1998-09-21,2021-03-26,中華民國,味全龍2019年第二輪,一壘手,味全龍
劉基鴻,5545,46,右投右打,180,88,2000-11-03,2021-03-14,中華民國,味全龍2019年第一輪,三壘手,味全龍
曾傳昇,5544,33,右投左打,175,68,2000-11-22,2021-03-14,中華民國,味全龍2019年第三輪,游擊手,味全龍二軍
林孝程,5548,1,右投左打,172,80,1999-11-30,2021-07-13,中華民國,味全龍2019年第十三輪,右外野手,味全龍
陳冠偉,5555,59,右投右打,183,92,1996-10-28,2021-09-15,中華民國,味全龍2019年第十七輪,投手,味全龍二軍
葉國情,5556,79,右投右打,180,78,2001-02-14,,中華民國,富邦悍將2019年第七輪,投手,富邦悍將二軍
陳良志,5551,32,右投右打,178,70,1997-04-30,,中華民國,味全龍2019年第二十五輪,投手,味全龍二軍
郭天信,5549,2,右投左打,173,70,2000-04-15,2021-03-14,中華民國,味全龍2019年第三輪,中外野手,味全龍
莊玉彬,5550,29,右投右打,172,69,2001-05-29,2021-05-07,中華民國,味全龍2019年第十輪,投手,味全龍二軍
陳震洋,5557,77,右投右打,176,91,2001-03-29,,中華民國,味全龍2019年第二十一輪,右外野手,味全龍二軍
呂偉晟,5552,39,右投右打,192,80,1999-07-10,2021-03-14,中華民國,味全龍2019年第九輪,投手,味全龍二軍
張祐銘,5553,34,右投左打,180,86,1997-03-15,2021-04-09,中華民國,味全龍2019年第十五輪,右外野手,味全龍二軍
黃東淯,5554,56,右投右打,170,72,1998-04-27,2021-09-29,中華民國,味全龍2019年第十四輪,投手,味全龍二軍
蘇俊璋,5558,00,右投右打,180,92,1998-09-02,2019-09-12,中華民國,Lamigo桃猿2019年第一輪,投手,樂天桃猿
林奕豪,5560,62,右投左打,180,68,2000-10-30,,中華民國,富邦悍將2019年第五輪,中外野手,富邦悍將二軍
吳承運,5564,013,右投左打,176,67,1999-03-08,,中華民國,,投手,富邦悍將二軍
李建勳,5561,54,右投右打,192,95,1996-09-08,2020-09-11,中華民國,富邦悍將2019年第十輪,投手,富邦悍將
林聖榮,5562,99,右投右打,180,80,2001-06-04,,中華民國,富邦悍將2019年第三輪,投手,富邦悍將二軍
李承禎,5559,55,右投右打,185,85,2000-09-14,2021-11-19,中華民國,Lamigo桃猿2019年第二輪,投手,樂天桃猿二軍
林瑞鈞,5567,75,右投左打,173,88,2001-04-06,2022-06-10,中華民國,中信兄弟2019年第七輪,二壘手,中信兄弟二軍
張聖豪,5565,46,右投左打,175,70,2001-05-11,2023-05-24,中華民國,中信兄弟2019年第四輪,捕手,統一7-ELEVEn獅二軍
姚冠瑋,5563,10,右投右打,170,78,1996-01-11,2020-05-10,中華民國,富邦悍將2019年第四輪,捕手,富邦悍將
黃弘毅,5566,84,右投右打,183,80,2001-04-06,2023-05-31,中華民國,中信兄弟2019年第五輪,投手,中信兄弟二軍
勝騎士,5604,21,右投右打,185,75,1994-10-31,2023-04-30,委內瑞拉,,投手,統一7-ELEVEn獅
魏碩成,5572,14,左投左打,182,85,1997-06-17,2020-08-12,中華民國,中信兄弟2019年第二輪,投手,中信兄弟二軍
飛利士,5590,73,左投左打,192,108,1987-10-23,2021-05-16,美國,,投手,統一7-ELEVEn獅二軍
曾頌恩,5569,32,右投右打,178,102,2000-01-08,2021-07-17,中華民國,中信兄弟2019年第三輪,中外野手,中信兄弟
